% year    month   day     NCEP_NCAR weighted mean GPH (m)
%                         GBI region 60-80N, 20-80W
% year    month   day     GBI
1948 1 1 5169.27
1948 1 2 5141.54
1948 1 3 5124
1948 1 4 5106.83
1948 1 5 5083.19
1948 1 6 5072.53
1948 1 7 5078.23
1948 1 8 5103.14
1948 1 9 5110.65
1948 1 10 5132.78
1948 1 11 5119.7
1948 1 12 5089.12
1948 1 13 5078.35
1948 1 14 5093.6
1948 1 15 5093.51
1948 1 16 5022.22
1948 1 17 4985.91
1948 1 18 5026.47
1948 1 19 5086.72
1948 1 20 5077.54
1948 1 21 5022.18
1948 1 22 5058.75
1948 1 23 5078.06
1948 1 24 5034.98
1948 1 25 5043.14
1948 1 26 5083.58
1948 1 27 5122.25
1948 1 28 5155.49
1948 1 29 5151.35
1948 1 30 5098.86
1948 1 31 5054.67
1948 2 1 5035.49
1948 2 2 4988.32
1948 2 3 5012.54
1948 2 4 5032.19
1948 2 5 4992.58
1948 2 6 4953.28
1948 2 7 4967.23
1948 2 8 4983.92
1948 2 9 4981.99
1948 2 10 4988.62
1948 2 11 4945.52
1948 2 12 4920.46
1948 2 13 4954.54
1948 2 14 5029.36
1948 2 15 5061.37
1948 2 16 5066.74
1948 2 17 5037.1
1948 2 18 5079.28
1948 2 19 5225.82
1948 2 20 5295.9
1948 2 21 5303.7
1948 2 22 5267.34
1948 2 23 5187.31
1948 2 24 5109.77
1948 2 25 5083.58
1948 2 26 5065.74
1948 2 27 5086.27
1948 2 28 5073.82
1948 2 29 5077.41
1948 3 1 5060.35
1948 3 2 4994.33
1948 3 3 5026.49
1948 3 4 5048.8
1948 3 5 5068.17
1948 3 6 5088.05
1948 3 7 5082.81
1948 3 8 5075.77
1948 3 9 5055.99
1948 3 10 5100.77
1948 3 11 5104.64
1948 3 12 5083.67
1948 3 13 5095.9
1948 3 14 5024.2
1948 3 15 4913.39
1948 3 16 4896.55
1948 3 17 4886.79
1948 3 18 4852.54
1948 3 19 4890.31
1948 3 20 4965.99
1948 3 21 5033.96
1948 3 22 5076.73
1948 3 23 5050.4
1948 3 24 5033.11
1948 3 25 5023.12
1948 3 26 5089.03
1948 3 27 5193.61
1948 3 28 5210.77
1948 3 29 5181.71
1948 3 30 5152.9
1948 3 31 5128.09
1948 4 1 5140.28
1948 4 2 5150.66
1948 4 3 5168.24
1948 4 4 5190.68
1948 4 5 5174.75
1948 4 6 5156.87
1948 4 7 5131.64
1948 4 8 5099.07
1948 4 9 5097.28
1948 4 10 5119.44
1948 4 11 5171.6
1948 4 12 5195.12
1948 4 13 5215.46
1948 4 14 5183.33
1948 4 15 5147.16
1948 4 16 5174.75
1948 4 17 5219.75
1948 4 18 5274.57
1948 4 19 5287.84
1948 4 20 5243.11
1948 4 21 5223.65
1948 4 22 5228.39
1948 4 23 5271.58
1948 4 24 5306.8
1948 4 25 5322.63
1948 4 26 5412.93
1948 4 27 5511.81
1948 4 28 5520.81
1948 4 29 5464.65
1948 4 30 5418.1
1948 5 1 5418.2
1948 5 2 5382.57
1948 5 3 5295.51
1948 5 4 5237.41
1948 5 5 5217.17
1948 5 6 5224.19
1948 5 7 5280.86
1948 5 8 5320.35
1948 5 9 5365.47
1948 5 10 5390.47
1948 5 11 5357.5
1948 5 12 5317.22
